"Pos","PIC","No.","Name","Class","Best Tm","Laps","Diff","Gap","Points","Make","Model","Color","Year","City","State","Sponsor"
"1","1","11","Patrick McMahon","Super Touring 2","1:05.276","23","","","100","Factory Five","Spec Cobra","Gray/Black","2005","Danville","NH",""
"2","1","8","Frank Ferrara","GTS3","1:05.394","23","0.866","0.866","100","BMW","M3","Blue","2001","Oreland","PA",""
"3","2","861","Robert Jackowitz","GTS3","1:05.638","23","3.054","2.188","90","BMW","M3","White","1999","","",""
"4","3","146","Chris DeFelice","GTS3","1:05.681","23","3.307","0.253","85","BMW","E46 M3","Silver","2001","New York","NY",""
"5","2","55","Paul Plemenos","Super Touring 2","1:06.309","23","20.607","17.300","90","Chevrolet","Corvette Z06","Blue","2006","Lake Hopatcong","NJ",""
"6","3","481","John George","Super Touring 2","1:06.548","23","23.517","2.910","85","Factory Five","Challenge","Blue","2005","","",""
"7","1","848","Jeffrey Segal","GTS4","1:06.039","23","36.829","13.312","100","BMW","M3","Silver","2002","Glastonbury","CT","CIG Private Wealth Management"
"8","4","909","Foad Razavi","GTS3","1:06.256","23","37.541","0.712","80","BMW","M3","Silver","2003","","",""
"9","2","914","Jack Haberman","GTS4","1:05.223","23","45.596","8.055","90","BMW","M3","D.Gray","2003","Chatham","NJ",""
"10","4","38","Doug Winston","Super Touring 2","1:06.901","23","52.380","6.784","80","Chevrolet","Corvette","Yellow","","","",""
"11","3","274","Michal Kuna","GTS4","1:06.593","23","1:02.533","10.153","85","BMW","M3","Maroon","2001","","",""
"12","5","53","Robert Goldlust","GTS3","1:07.979","23","1:04.764","2.231","75","BMW","M3","Red/Black","1996","Cherry Hill","NJ",""
"13","6","22","Hugh Stewart","GTS3","1:07.747","22","1 Lap","1 Lap","70","BMW","328","White/Red","1992","","",""
"14","4","716","Phil Parlato","GTS4","1:09.182","22","1 Lap","3.263","80","BMW","325i","White/Red/Black","2003","","",""
"15","7","713","Walter Markes","GTS3","1:06.846","22","1 Lap","15.805","69","BMW","M3","White","2004","Bronx","NY",""
"16","5","72","Matthew Gaetano","GTS4","1:09.321","22","1 Lap","2.291","75","BMW","M3","Yellow/Black","2003","White Plains","NY",""
"17","8","125","David Seidman","GTS3","1:12.482","21","2 Laps","1 Lap","68","BMW","M3","Avus Blue","1995","West Harrison","NY","VAC"
"18","9","136","Kazimierz Sperling","GTS3","1:13.232","21","2 Laps","1:07.147","67","BMW","M3","White","1997","","",""
"19","6","267","Tony Salloum","GTS4","1:16.019","20","3 Laps","1 Lap","70","BMW","","Black","","","","VAC Motorsports"
"20","5","3","Peter McIntosh II","Super Touring 2","1:13.173","13","10 Laps","7 Laps","75","Nissan","350Z","White","2008","","",""
"21","1","113","Steve Katz","GTS5","1:10.486","8","15 Laps","5 Laps","100","Porsche","GT3 Cup","White","2005","Bardonia","NY",""
